2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA-VI, 262045, 2582462, Women and child development, 0, 0, 0, 0, 0, 0, 661000, 661000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA-VI, 262045, 2582462, Total, 0, 0, 0, 0, 0, 0, 1261000, 1261000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA-V, 262044, 1639332, Maintenance of community system, 0, 0, 0, 0, 0, 0, 689000, 689000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA-V, 262044, 1639332, Women and child development, 0, 0, 0, 0, 0, 0, 637000, 637000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA-V, 262044, 1639332, Total, 0, 0, 0, 0, 0, 0, 1326000, 1326000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA -III, 262042, 1638611, Education, 0, 0, 0, 0, 0, 0, 628000, 628000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA -III, 262042, 1638611, Sanitation, 0, 0, 0, 0, 0, 0, 698000, 698000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA -III, 262042, 1638611, Total, 0, 0, 0, 0, 0, 0, 1326000, 1326000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA-IV, 262043, 2581559, Markets and fairs, 0, 0, 0, 0, 0, 0, 600000, 600000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA-IV, 262043, 2581559, Women and child development, 0, 0, 0, 0, 0, 0, 720000, 720000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA-IV, 262043, 2581559, Total, 0, 0, 0, 0, 0, 0, 1320000, 1320000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA-DIGNIUM, 262048, 1639360, Education, 0, 0, 0, 0, 0, 0, 731000, 731000
2018, ARUNACHAL PRADESH, 12, UPPER SUBANSIRI, 232, GIBA, 2848, MENGA-DIGNIUM, 262048, 1639360, Sanitation, 0, 0, 0, 0, 0, 0, 718000, 718000
